t1_prior,equilibrium,11,12,21,22,we1,we2,e1,e2,payoff,uniform
0.0,nash,0.6202531646,0.3797468354,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848097
0.0,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.17045454545,-3.2375
0.01,nash,0.6164173379,0.3835826621,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848104
0.01,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.17352272727,-3.22875
0.02,nash,0.6125032291,0.3874967709,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848105
0.02,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.17659090909,-3.22
0.03,nash,0.6085084171,0.3914915829,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848099
0.03,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.17965909091,-3.21125
0.04,nash,0.6044303797,0.3955696203,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848105
0.04,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.18272727273,-3.2025
0.05,nash,0.600266489,0.399733511,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.05,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.18579545455,-3.19375
0.06,nash,0.5960140048,0.4039859952,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848105
0.06,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.18886363636,-3.185
0.07,nash,0.5916700694,0.4083299306,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848103
0.07,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.19193181818,-3.17625
0.08,nash,0.5872317006,0.4127682994,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
