t1_prior,equilibrium,decoys,11,12,21,22,e1,e2,p,we1,we2,wp,ae1,ae2,ap,payoff,uniform
0.0,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.0,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.303217821782,1.22430555556
0.01,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.01,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.307747524752,1.22430555556
0.02,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.02,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.312277227723,1.22430555556
0.03,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.03,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.316806930693,1.22430555556
0.04,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.04,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.321336633663,1.22430555556
0.05,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.05,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.325866336634,1.22430555556
0.06,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.06,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.330396039604,1.22430555556
0.07,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.07,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.334925742574,1.22430555556
0.08,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.08,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.339455445545,1.22430555556
0.09,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.09,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.343985148515,1.22430555556
0.1,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.1,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.348514851485,1.22430555556
0.11,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.11,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.353044554455,1.22430555556
0.12,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.12,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.357574257426,1.22430555556
0.13,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.13,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.362103960396,1.22430555556
0.14,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.14,stackelberg,17,1.0,0.0,0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.366633663366,1.22430555556
0.15,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.15,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.371163366337,1.22430555556
0.16,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
