t1_prior,equilibrium,decoys,11,12,21,22,we1,we2,e1,e2,payoff,uniform
0.0,nash,17,0.5795374912,0.4204625088,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866507
0.0,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.02770935961,-3.141875
0.01,nash,17,0.5752903952,0.4247096048,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866502
0.01,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.03134852217,-3.13185
0.02,nash,17,0.5709566237,0.4290433763,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866505
0.02,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.03498768473,-3.121825
0.03,nash,17,0.5665334961,0.4334665039,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866505
0.03,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.03862684729,-3.1118
0.04,nash,17,0.56201822,0.43798178,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866507
0.04,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.04226600985,-3.101775
0.05,nash,17,0.5574078855,0.4425921145,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866505
0.05,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.04590517241,-3.09175
0.06,nash,17,0.5526994588,0.4473005412,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.560888665
0.06,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.04954433498,-3.081725
0.07,nash,17,0.5478897755,0.4521102245,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866506
0.07,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.05318349754,-3.0717
0.08,nash,17,0.542975534,0.457024466,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247374,-2.56088866499
0.08,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.0568226601,-3.061675
0.09,nash,17,0.5379532871,0.4620467129,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866501
0.09,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.06046182266,-3.05165
0.1,nash,17,0.5328194347,0.4671805653,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866504
0.1,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.06410098522,-3.041625
0.11,nash,17,0.5275702149,0.4724297851,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866501
0.11,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.06774014778,-3.0316
0.12,nash,17,0.5222016946,0.4777983054,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866502
0.12,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.07137931034,-3.021575
0.13,nash,17,0.51670976,0.48329024,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866507
0.13,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.07501847291,-3.01155
0.14,nash,17,0.5110901061,0.4889098939,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866503
0.14,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.07865763547,-3.001525
0.15,nash,17,0.505338225,0.494661775,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866502
0.15,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.08229679803,-2.9915
0.16,nash,17,0.4994493943,0.5005506057,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866506
0.16,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.08593596059,-2.981475
0.17,nash,17,0.4934186641,0.5065813359,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866507
0.17,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.08957512315,-2.97145
0.18,nash,17,0.487240843,0.512759157,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866501
0.18,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.09321428571,-2.961425
0.19,nash,17,0.480910483,0.519089517,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866504
0.19,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.09685344828,-2.9514
0.2,nash,17,0.4744218641,0.5255781359,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247374,-2.56088866499
0.2,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.10049261084,-2.941375
0.21,nash,17,0.4677689763,0.5322310237,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866499
0.21,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.1041317734,-2.93135
0.22,nash,17,0.4609455016,0.5390544984,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866502
0.22,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.10777093596,-2.921325
0.23,nash,17,0.4539447938,0.5460552062,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866505
0.23,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.11141009852,-2.9113
0.24,nash,17,0.4467598569,0.5532401431,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866503
0.24,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.11504926108,-2.901275
0.25,nash,17,0.4393833217,0.5606166783,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.560888665
0.25,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.11868842365,-2.89125
0.26,nash,17,0.4318074206,0.5681925794,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866503
0.26,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.12232758621,-2.881225
0.27,nash,17,0.4240239606,0.5759760394,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866503
0.27,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.12596674877,-2.8712
0.28,nash,17,0.4160242934,0.5839757066,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866502
0.28,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.12960591133,-2.861175
0.29,nash,17,0.4077992834,0.5922007166,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866506
0.29,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.13324507389,-2.85115
0.3,nash,17,0.3993392732,0.6006607268,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866503
0.3,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.13688423645,-2.841125
0.31,nash,17,0.3906340453,0.6093659547,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866501
0.31,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.14052339901,-2.8311
0.32,nash,17,0.3816727812,0.6183272188,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866506
0.32,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.14416256158,-2.821075
0.33,nash,17,0.3724440168,0.6275559832,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866502
0.33,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.14780172414,-2.81105
0.34,nash,17,0.3629355928,0.6370644072,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866502
0.34,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.1514408867,-2.801025
0.35,nash,17,0.3531346019,0.6468653981,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866504
0.35,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.15508004926,-2.791
0.36,nash,17,0.3430273301,0.6569726699,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866501
0.36,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.15871921182,-2.780975
0.37,nash,17,0.3325991924,0.6674008076,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247371,-2.56088866506
0.37,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.16235837438,-2.77095
0.38,nash,17,0.3218346633,0.6781653367,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247372,-2.56088866503
0.38,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.16599753695,-2.760925
0.39,nash,17,0.3107171988,0.6892828012,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.560888665
0.39,stackelberg,17,1.0,-0.0,0.0,1.0,0.738916256158,0.0,0.0,0.261083743842,-2.16963669951,-2.7509
0.4,nash,17,0.2992291521,0.7007708479,0.0,0.0,0.7389162562,0.0,0.0,0.2610837438,-2.23861247373,-2.56088866501
