t1_prior,11,12,21,22,we1,we2,e1,e2,payoff
0.0,0.5454545455,0.4545454545,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.818181818182
0.01,0.536271809,0.463728191,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.826363636364
0.02,0.5269016698,0.4730983302,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.834545454545
0.03,0.5173383318,0.4826616682,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.842727272727
0.04,0.5075757576,0.4924242424,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.850909090909
0.05,0.4976076555,0.5023923445,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.859090909091
0.06,0.4874274662,0.5125725338,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.867272727273
0.07,0.477028348,0.522971652,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.875454545455
0.08,0.4664031621,0.5335968379,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.883636363636
0.09,0.4555444555,0.5444555445,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.891818181818
0.1,0.4444444444,0.5555555556,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.9
0.11,0.4330949949,0.5669050051,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.908181818182
0.12,0.4214876033,0.5785123967,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.916363636364
0.13,0.4096133751,0.5903866249,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.924545454545
0.14,0.3974630021,0.6025369979,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.932727272727
0.15,0.385026738,0.614973262,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.940909090909
0.16,0.3722943723,0.6277056277,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.949090909091
0.17,0.3592552026,0.6407447974,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.957272727273
0.18,0.3458980044,0.6541019956,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.965454545455
0.19,0.3322109989,0.6677890011,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.973636363636
0.2,0.3181818182,0.6818181818,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.981818181818
0.21,0.3037974684,0.6962025316,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.99
0.22,0.289044289,0.710955711,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-0.998181818182
0.23,0.2739079103,0.7260920897,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.00636363636
0.24,0.2583732057,0.7416267943,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.01454545455
